# x y nx ny
3.036637458193980343e+00 2.078028661832474366e+00 -7.957909102504829857e-01 -6.055714880694992308e-01
3.050014715719063574e+00 2.060292817536269361e+00 -8.009028353564324743e-01 -5.987943288960134725e-01
3.063391973244147248e+00 2.042243808957002749e+00 -8.058454534122044821e-01 -5.921259200667360334e-01
3.076769230769230923e+00 2.023881636094674530e+00 -8.106251818960982236e-01 -5.855653801890253751e-01
3.090146488294315041e+00 2.005206298949284704e+00 -8.152481964522416691e-01 -5.791117147678563892e-01
3.103523745819397828e+00 1.986217797520833495e+00 -8.197204372503515968e-01 -5.727638298235079306e-01
3.116901003344481502e+00 1.966916131809319790e+00 -8.240476155974330030e-01 -5.665205444008057922e-01
3.130278260869564733e+00 1.947301301814744701e+00 -8.282352206549262741e-01 -5.603806021506148038e-01
3.143655518394648851e+00 1.927373307537108227e+00 -8.322885264336051803e-01 -5.543426817113922267e-01
3.157032775919732526e+00 1.907132148976409702e+00 -8.362125987266619820e-01 -5.484054063654028033e-01
3.170410033444816200e+00 1.886577826132649349e+00 -8.400123021551053615e-01 -5.425673527112372385e-01
3.183787290969899875e+00 1.865710339005827390e+00 -8.436923071649478079e-01 -5.368270585865501099e-01
3.197164548494983549e+00 1.844529687595944711e+00 -8.472570969561133980e-01 -5.311830302800523151e-01
3.210541806020066780e+00 1.823035871902998872e+00 -8.507109743196408225e-01 -5.256337490802195367e-01
3.223919063545150454e+00 1.801228891926992093e+00 -8.540580684349972085e-01 -5.201776770883980161e-01
3.237296321070234129e+00 1.779108747667923041e+00 -8.573023414463105674e-01 -5.148132626017646318e-01
3.250673578595317803e+00 1.756675439125792604e+00 -8.604475949365889553e-01 -5.095389448980712777e-01
3.264050836120401478e+00 1.733928966300600560e+00 -8.634974762537748205e-01 -5.043531585143109508e-01
3.277428093645485596e+00 1.710869329192346688e+00 -8.664554846381193887e-01 -4.992543371274020259e-01
3.290805351170567938e+00 1.687496527801031432e+00 -8.693249772069734371e-01 -4.942409169667109081e-01
3.304182608695652057e+00 1.663810562126654125e+00 -8.721091746944568124e-01 -4.893113399603092328e-01
3.317559866220735287e+00 1.639811432169214989e+00 -8.748111670962372965e-01 -4.844640563795409305e-01
3.330937123745819406e+00 1.615499137928714468e+00 -8.774339190496631691e-01 -4.796975273035594123e-01
3.344314381270903080e+00 1.590873679405151897e+00 -8.799802750410264940e-01 -4.750102267727711602e-01
3.357691638795986755e+00 1.565935056598527719e+00 -8.824529644592776778e-01 -4.704006436188546969e-01
3.371068896321070429e+00 1.540683269508841935e+00 -8.848546064278937084e-01 -4.658672831218535482e-01
3.384446153846153216e+00 1.515118318136094988e+00 -8.871877144518663938e-01 -4.614086684552788920e-01
3.397823411371237334e+00 1.489240202480285769e+00 -8.894547009317111952e-01 -4.570233418442434803e-01
3.411200668896321009e+00 1.463048922541414720e+00 -8.916578814204163539e-01 -4.527098656986112135e-01
3.424577926421404683e+00 1.436544478319482065e+00 -8.937994787737921776e-01 -4.484668234593248148e-01
3.437955183946488802e+00 1.409726869814487360e+00 -8.958816271276903720e-01 -4.442928203055296343e-01
3.451332441471572032e+00 1.382596097026431270e+00 -8.979063756445120337e-01 -4.401864838644373168e-01
3.464709698996656151e+00 1.355152159955313351e+00 -8.998756922083891441e-01 -4.361464645878405655e-01
3.478086956521739381e+00 1.327395058601134492e+00 -9.017914668680709900e-01 -4.321714362193930237e-01
3.491464214046822612e+00 1.299324792963893138e+00 -9.036555151925897977e-01 -4.282600960421310554e-01
3.504841471571906286e+00 1.270941363043590178e+00 -9.054695814391815478e-01 -4.244111651315894407e-01
3.518218729096989961e+00 1.242244768840225611e+00 -9.072353416355782851e-01 -4.206233884217275842e-01
3.531595986622073635e+00 1.213235010353799215e+00 -9.089544064831661663e-01 -4.168955347983895332e-01
3.544973244147157310e+00 1.183912087584310768e+00 -9.106283241596550004e-01 -4.132263970732970582e-01
3.558350501672241428e+00 1.154276000531760937e+00 -9.122585829727278828e-01 -4.096147919601908494e-01
3.571727759197324659e+00 1.124326749196150388e+00 -9.138466139299676883e-01 -4.060595599277681544e-01
3.585105016722407889e+00 1.094064333577477122e+00 -9.153937931697622155e-01 -4.025595650661834002e-01
3.598482274247492008e+00 1.063488753675742027e+00 -9.169014442923958397e-01 -3.991136948972290877e-01
3.611859531772575238e+00 1.032600009490945325e+00 -9.183708405808257424e-01 -3.957208601664404801e-01
3.625236789297658913e+00 1.001398101023086795e+00 -9.198032071468698057e-01 -3.923799945490754615e-01
3.638614046822742587e+00 9.698830282721667695e-01 -9.211997229415885835e-01 -3.890900544248602766e-01
3.651991304347826262e+00 9.380547912381849152e-01 -9.225615227134994489e-01 -3.858500185415950634e-01
